DATE          VALUE
2015-02-27  2104.50
2015-03-01  0
2015-03-02  2117.39
2015-03-03  2107.78
2015-03-04  2098.53
2015-03-05  2101.04
2015-03-06  2071.26
2015-03-07  0
2015-03-08  0
2015-03-09  2079.43
2015-03-10  2044.16
2015-03-11  2040.24
2015-03-12  2065.95
2015-03-13  2053.40
2015-03-14  0
2015-03-15  0
2015-03-16  2081.19
2015-03-17  2074.28
2015-03-18  2099.50
2015-03-19  2089.27
2015-03-20  2108.10
2015-03-21  0
2015-03-22  0
2015-03-23  2104.42
2015-03-24  2091.50
2015-03-25  2061.05
2015-03-26  2056.15
2015-03-27  2061.02
2015-03-07  0
2015-03-08  0
2015-03-30  2086.24
2015-03-31  2067.89
2015-04-01  2059.69
2015-04-02  2066.96
2015-04-03  0
2015-04-04  0
2015-04-05  0
2015-04-06  2080.62
2015-04-07  2076.33
2015-04-08  2081.90
2015-04-09  2091.18
2015-04-10  2102.06
2015-04-11  0
2015-04-12  0
2015-04-13  2092.43
2015-04-14  2095.84
2015-04-15  2106.63
2015-04-16  2104.99
2015-04-17  2081.18
2015-04-18  0
2015-04-19  0
2015-04-20  2100.40
2015-04-21  2097.29
2015-04-22  2107.96
2015-04-23  2112.93
2015-04-24  2117.69
2015-04-25  0
2015-04-26  0
2015-04-27  2108.92
2015-04-28  2114.76
2015-04-30  2085.51
2015-05-01  2108.29
2015-05-02  0
2015-05-03  0
2015-05-04  2114.49
2015-05-05  2089.46
2015-05-06  2080.15
2015-05-07  2088.00
2015-05-08  2116.10
2015-05-09  0
2015-05-10  0
2015-05-11  2105.33
2015-05-12  2099.12
2015-05-13  2098.48
2015-05-14  2121.10
2015-05-15  2122.73
2015-05-16  0
2015-05-17  0
2015-05-18  2129.20
2015-05-19  2127.83
2015-05-20  2125.85
2015-05-21  2130.82
2015-05-22  2126.06
2015-05-23  0
2015-05-24  0
2015-05-25  0
2015-05-26  2104.20
2015-05-27  2123.48
2015-05-28  2120.79
2015-05-29  2107.39
2015-05-30  0
2015-05-31  0
2015-06-01  2111.73
2015-06-02  2109.60
2015-06-03  2114.07
2015-06-04  2095.84
2015-06-05  2092.83
2015-06-06  0
2015-06-07  0
2015-06-08  2079.28
2015-06-09  2080.15
2015-06-10  2105.20
2015-06-11  2108.86
2015-06-12  2094.11
2015-06-13  0
2015-06-14  0
2015-06-15  2084.43
2015-06-16  2096.29
2015-06-17  2100.44
2015-06-18  2121.24
2015-06-19  2109.99
2015-06-20  0
2015-06-21  0
2015-06-22  2122.85
2015-06-23  2124.20
2015-06-24  2108.58
2015-06-25  2102.31
2015-06-26  2101.49
2015-06-27  0
2015-06-28  0
2015-06-29  2057.64
2015-06-30  2063.11
2015-07-01  2077.42
2015-07-02  2076.78
2015-07-03  0
2015-07-04  0
2015-07-13  2099.60
2015-07-14  2108.95
2015-07-15  2107.40
2015-07-16  2124.29
2015-07-17  2126.64
2015-07-18  0
2015-07-19  0
2015-07-20  2128.28
2015-07-21  2119.21
2015-07-22  2114.15
2015-07-23  2102.15
2015-07-24  2079.65
2015-07-25  0
2015-07-26  0
2015-07-27  2067.64
2015-07-28  2093.25
2015-07-29  2108.57
2015-07-30  2108.63
2015-07-31  2103.84
2015-08-01  0
2015-08-02  0
2015-08-03  2098.04
2015-08-04  2093.32
2015-08-05  2099.84
2015-08-06  2083.56
2015-08-07  2077.57
2015-08-08  0
2015-08-09  0
2015-08-10  2104.18
2015-08-11  2084.07
2015-08-12  2086.05
2015-08-13  2083.39
2015-08-14  2091.54
2015-08-15  0
2015-08-16  0
2015-08-17  2102.44
2015-08-18  2096.92
2015-08-19  2079.61
2015-08-20  2035.73
2015-08-21  1970.89
2015-08-22  0
2015-08-23  0
2015-08-24  1893.21
2015-08-25  1867.61
2015-08-26  1940.51
2015-08-27  1987.66
2015-08-28  1988.87
2015-08-29  0
2015-08-30  0
2015-08-31  1972.18

